PERCEPHO,P103,P104,P105A,EDUCACION_JEFE,DOMINIO,NUM_SERVICIOS,NUM_EQUIPOS,NUM_OCUPADOS,EDAD_JEFE,PCT_NINOS,POBREZA,HACINAMIENTO
2,5.0,4.0,2.0,8.0,6,8,6,2.0,64.0,0.0,3,2.0
2,5.0,4.0,2.0,4.0,6,8,6,2.0,74.0,0.0,3,5.0
3,5.0,4.0,2.0,9.0,6,8,6,2.0,60.0,0.2,3,5.0
1,5.0,1.0,2.0,1.0,6,8,6,1.0,90.0,0.0,3,1.0
3,2.0,5.0,2.0,8.0,6,8,6,3.0,66.0,0.3333333333333333,3,6.0
2,3.0,3.0,2.0,6.0,6,8,6,2.0,73.0,0.2,3,5.0
2,3.0,4.0,2.0,8.0,6,8,6,0.0,64.0,0.25,3,4.0
1,5.0,2.0,2.0,7.0,6,8,6,1.0,32.0,0.5,3,2.0
1,5.0,3.0,2.0,6.0,6,8,6,1.0,40.0,0.5,3,4.0
2,5.0,1.0,2.0,6.0,6,8,6,2.0,27.0,0.3333333333333333,3,3.0
1,5.0,5.0,2.0,10.0,6,8,6,1.0,79.0,0.0,3,3.0
3,5.0,2.0,2.0,3.0,6,8,6,3.0,70.0,0.0,3,4.0
3,5.0,5.0,2.0,1.0,6,8,6,1.0,86.0,0.0,3,4.0
2,3.0,4.0,2.0,6.0,6,8,6,2.0,60.0,0.0,3,4.0
1,5.0,3.0,2.0,6.0,6,8,6,1.0,56.0,0.0,3,3.0
3,5.0,2.0,2.0,6.0,6,8,6,3.0,45.0,0.4,3,5.0
3,5.0,7.0,2.0,10.0,6,8,6,3.0,60.0,0.0,3,3.0
2,5.0,7.0,2.0,5.0,6,8,6,1.0,58.0,0.0,3,3.0
1,5.0,3.0,2.0,6.0,6,8,6,1.0,40.0,0.5,3,1.0
1,6.0,2.0,2.0,6.0,6,8,6,1.0,48.0,0.0,3,0.5
3,5.0,3.0,2.0,5.0,6,8,6,3.0,66.0,0.0,3,1.3333333333333333
2,3.0,7.0,2.0,8.0,6,8,6,3.0,50.0,0.0,3,5.0
2,5.0,4.0,2.0,8.0,6,8,6,1.0,49.0,0.0,3,3.0
3,3.0,6.0,2.0,6.0,6,8,6,3.0,58.0,0.0,3,4.0
1,5.0,2.0,2.0,6.0,6,8,6,1.0,53.0,0.0,3,3.0
2,5.0,4.0,2.0,6.0,6,8,6,1.0,47.0,0.0,3,3.0
2,5.0,3.0,2.0,8.0,6,8,6,2.0,34.0,0.6,3,5.0
2,5.0,2.0,2.0,4.0,6,8,6,2.0,44.0,0.3333333333333333,3,1.0
1,5.0,1.0,2.0,6.0,6,8,6,1.0,34.0,0.0,3,0.3333333333333333
3,5.0,3.0,2.0,6.0,6,8,6,3.0,23.0,0.1666666666666666,3,1.5
2,5.0,2.0,2.0,6.0,6,8,6,2.0,46.0,0.25,3,1.3333333333333333
2,3.0,3.0,2.0,6.0,6,8,6,1.0,75.0,0.0,3,2.0
2,1.0,5.0,2.0,10.0,6,8,6,0.0,53.0,0.25,3,4.0
1,5.0,6.0,2.0,7.0,6,8,6,1.0,51.0,0.0,3,0.25
1,5.0,2.0,2.0,9.0,6,8,6,0.0,42.0,0.5,3,2.0
2,3.0,4.0,2.0,10.0,6,8,6,1.0,45.0,0.25,3,4.0
3,5.0,7.0,2.0,10.0,6,8,6,1.0,80.0,0.0,3,3.0
1,5.0,2.0,2.0,6.0,3,8,6,0.0,69.0,0.0,3,0.5
3,5.0,2.0,2.0,4.0,3,8,6,3.0,63.0,0.0,3,3.0
2,5.0,3.0,2.0,4.0,3,8,6,1.0,76.0,0.0,3,2.0
2,5.0,4.0,2.0,1.0,3,8,6,2.0,90.0,0.0,3,3.0
3,3.0,4.0,2.0,7.0,3,8,6,2.0,49.0,0.2,3,5.0
2,3.0,5.0,2.0,10.0,3,8,6,1.0,62.0,0.25,3,4.0
