PERCEPHO,P103,P104,P105A,EDUCACION_JEFE,DOMINIO,NUM_SERVICIOS,NUM_EQUIPOS,NUM_OCUPADOS,EDAD_JEFE,PCT_NINOS,POBREZA,HACINAMIENTO
2,6.0,3.0,2.0,6.0,7,8,6,2.0,38.0,0.6,1,5.0
1,5.0,2.0,2.0,6.0,7,8,6,1.0,30.0,0.625,1,8.0
5,6.0,2.0,2.0,5.0,7,8,6,5.0,50.0,0.125,2,1.0
1,3.0,4.0,1.0,11.0,2,8,6,1.0,36.0,0.3333333333333333,3,3.0
2,3.0,3.0,1.0,10.0,2,8,6,2.0,59.0,0.0,3,2.0
2,3.0,2.0,2.0,8.0,2,8,6,2.0,58.0,0.0,3,3.0
2,3.0,4.0,2.0,8.0,2,8,6,2.0,72.0,0.0,3,2.0
3,3.0,4.0,2.0,5.0,2,8,6,1.0,66.0,0.25,3,4.0
3,3.0,6.0,2.0,6.0,2,8,6,2.0,77.0,0.0,3,3.0
4,3.0,5.0,6.0,8.0,2,8,6,2.0,56.0,0.0,3,4.0
2,5.0,4.0,2.0,4.0,2,8,6,1.0,81.0,0.0,3,4.0
2,5.0,5.0,2.0,6.0,2,8,6,1.0,66.0,0.0,3,2.0
2,3.0,4.0,2.0,3.0,2,8,6,0.0,76.0,0.0,3,4.0
4,3.0,6.0,2.0,10.0,2,8,6,3.0,54.0,0.0,3,5.0
2,5.0,6.0,2.0,10.0,2,8,6,1.0,74.0,0.375,3,8.0
4,5.0,11.0,2.0,8.0,2,8,6,2.0,54.0,0.0,3,10.0
4,3.0,6.0,2.0,7.0,2,8,6,2.0,43.0,0.0,3,4.0
1,5.0,3.0,2.0,6.0,2,8,6,1.0,71.0,0.0,3,1.0
3,3.0,4.0,6.0,6.0,2,8,6,3.0,65.0,0.0,3,3.0
3,5.0,4.0,3.0,10.0,2,8,6,2.0,30.0,0.5,2,1.5
2,5.0,3.0,3.0,8.0,2,8,6,2.0,33.0,0.3333333333333333,3,1.5
2,5.0,3.0,3.0,4.0,2,8,6,1.0,60.0,0.3333333333333333,3,0.75
1,5.0,1.0,6.0,3.0,2,8,6,0.0,86.0,0.0,3,0.25
1,6.0,1.0,3.0,3.0,2,8,6,1.0,53.0,0.0,2,0.25
3,5.0,3.0,3.0,6.0,2,8,6,3.0,45.0,0.25,3,1.0
1,5.0,1.0,2.0,5.0,2,8,6,1.0,68.0,0.0,3,1.0
3,5.0,4.0,3.0,5.0,2,8,6,3.0,61.0,0.2,3,5.0
1,2.0,2.0,6.0,6.0,2,8,6,1.0,36.0,0.4,2,5.0
1,2.0,4.0,2.0,6.0,2,8,6,2.0,46.0,0.0,3,3.0
5,5.0,4.0,3.0,6.0,2,8,6,1.0,45.0,0.375,2,8.0
4,5.0,4.0,2.0,5.0,2,8,6,2.0,62.0,0.0,3,5.0
2,5.0,4.0,3.0,6.0,2,8,6,1.0,42.0,0.0,2,6.0
2,6.0,4.0,3.0,3.0,2,8,6,2.0,59.0,0.2,2,5.0
1,6.0,2.0,3.0,6.0,2,8,6,1.0,58.0,0.0,3,1.0
1,3.0,6.0,2.0,6.0,2,8,6,1.0,47.0,0.3333333333333333,3,6.0
3,5.0,5.0,3.0,3.0,2,8,6,3.0,52.0,0.0,3,5.0
2,5.0,5.0,2.0,1.0,2,8,6,1.0,77.0,0.0,3,2.0
2,3.0,2.0,2.0,8.0,2,8,6,0.0,61.0,0.0,3,2.0
2,5.0,6.0,2.0,10.0,2,8,6,1.0,52.0,0.0,3,3.0
2,5.0,5.0,2.0,8.0,2,8,6,0.0,64.0,0.0,3,3.0
2,3.0,4.0,2.0,8.0,2,8,6,2.0,51.0,0.0,3,3.0
3,5.0,3.0,2.0,7.0,2,8,6,2.0,53.0,0.0,3,3.0
3,3.0,6.0,2.0,3.0,2,8,6,3.0,57.0,0.42857142857142855,3,7.0
3,6.0,4.0,6.0,6.0,2,8,6,2.0,58.0,0.0,2,4.0
4,5.0,6.0,2.0,7.0,2,8,6,3.0,58.0,0.16666666666666666,3,6.0
3,5.0,5.0,2.0,4.0,2,8,6,3.0,42.0,0.42857142857142855,3,7.0
7,5.0,8.0,3.0,4.0,2,8,6,5.0,54.0,0.2,3,10.0
